Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je periferní zařízení?;Zařízení připojené k počítači, které rozšiřuje jeho funkce;Hlavní deska;Paměť RAM;Zdroj napájení
Které zařízení slouží pro vstup dat do počítače?;Klávesnice;Monitor;Reproduktor;Tiskárna
Co je myš?;Ukazovací zařízení;Výstupní zařízení;Paměťové médium;Bezdrátová síť
K čemu slouží monitor?;Zobrazuje výstup z počítače;Zaznamenává zvuk;Ukládá data;Řídí přístup k síti
Jaký typ zařízení je tiskárna?;Výstupní zařízení;Vstupní zařízení;Paměťové zařízení;Řídicí jednotka
Co je skener?;Zařízení převádějící obraz do digitální podoby;Tiskárna;Zálohovací médium;Ochranný software
K čemu slouží webová kamera?;Zaznamenává obraz;Zobrazuje tabulky;Tiskne dokumenty;Ukládá texty
Jaký port se nejčastěji používá pro připojení periferií?;USB;HDMI;VGA;LAN
Co je trackpad?;Dotyková plocha sloužící jako myš;Monitor;Paměťová karta;Konektor na základní desce
Které zařízení je výstupní?;Reproduktor;Skener;Klávesnice;Myš
Jaký druh tiskárny využívá toner?;Laserová tiskárna;Inkoustová tiskárna;Jehličková tiskárna;3D tiskárna
Co je dotyková obrazovka?;Zařízení kombinující vstup a výstup;Jen výstupní zařízení;Jen vstupní zařízení;Paměťový čip
K čemu slouží mikrofon?;Zachycuje zvuk;Zobrazuje data;Ukládá dokumenty;Přijímá Wi-Fi
Co je stylus?;Elektronické pero pro práci s dotykovou obrazovkou;Typ tiskárny;Druh kabelu;Počítačová hra
Jaký formát výstupu poskytuje skener?;Obrazový soubor;Textový dokument;Zvukový záznam;Videozáznam
Jak se nazývá zařízení, které slouží k ovládání kurzoru bez myši?;Touchpad;Skener;Reproduktor;BIOS
Které zařízení se nejčastěji používá pro videohovory?;Webkamera;Skener;Tiskárna;Monitor
Jaký typ připojení mají bezdrátové periferie?;Bluetooth;USB;VGA;SATA
Které zařízení využívá DPI jako parametr?;Myš;Tiskárna;Reproduktor;Klávesnice
Co je headset?;Sluchátka s mikrofonem;Paměťový modul;Bezdrátová tiskárna;Skener dokumentů
